_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
paywall_features.image_album.subtitle,Select multiple photos and insert them as a beautiful grid,حدد عدة صور وأدرجها كشبكة جميلة,Wählen Sie mehrere Fotos aus und fügen Sie sie als ansprechendes Raster ein.,Selecciona varias fotos e insértalas formando una bonita cuadrícula.,Selecciona varias fotos e insértalas formando una bonita cuadrícula.,Sélectionnez plusieurs photos et insérez-les sous forme de grille.,कई फ़ोटो चुनें और उन्हें एक सुंदर ग्रिड के रूप में डालें,Pilih beberapa foto dan sisipkan sebagai kisi yang indah.,Seleziona più foto e inseriscile in una splendida griglia,複数の写真を選択して、美しいグリッド状に挿入します。,ជ្រើសរើសរូបថតច្រើន ហើយបញ្ចូលវាជាក្រឡាចត្រង្គដ៏ស្រស់ស្អាត,여러 장의 사진을 선택하여 아름다운 격자 형태로 삽입하세요.,Wybierz wiele zdjęć i wstaw je jako piękną siatkę,Selecione várias fotos e insira-as em uma bela grade.,Chọn nhiều ảnh và chèn chúng thành một lưới ảnh đẹp mắt.,选择多张照片，并以精美的网格形式插入。,Выберите несколько фотографий и вставьте их в красивую сетку.,Виберіть кілька фотографій та вставте їх у вигляді красивої сітки,Birden fazla fotoğraf seçin ve bunları güzel bir ızgara şeklinde ekleyin.
paywall_features.image_album.title,Photo Albums,ألبومات الصور,Fotoalben,Álbumes de fotos,Álbumes de fotos,Albums photos,फ़ोटो एल्बम,Album Foto,Album fotografici,フォトアルバム,អាល់ប៊ុមរូបថត,사진 앨범,Albumy ze zdjęciami,Álbuns de fotos,Album ảnh,相册,Фотоальбомы,Фотоальбоми,Fotoğraf Albümleri
paywall_features.markdown_export.subtitle,"Compatible with Obsidian, Notion, and markdown editors.",متوافق مع برامج تحرير Obsidian و Notion و Markdown.,"Kompatibel mit Obsidian, Notion und Markdown-Editoren.","Compatible con Obsidian, Notion y editores de rebajas.","Compatible con Obsidian, Notion y editores de rebajas.","Compatible avec les éditeurs Obsidian, Notion et Markdown.","ऑब्सीडियन, नोटियन और मार्कडाउन एडिटर्स के साथ संगत।","Kompatibel dengan Obsidian, Notion, dan editor markdown.","Compatibile con Obsidian, Notion e gli editor markdown.",Obsidian、Notion、マークダウン エディターと互換性があります。,"ឆបគ្នាជាមួយ Obsidian, Notion និង markdown editors។","Obsidian, Notion 및 마크다운 편집기와 호환됩니다.","Kompatybilny z edytorami Obsidian, Notion i Markdown.","Compatível com Obsidian, Notion e editores Markdown.","Tương thích với Obsidian, Notion và các trình soạn thảo Markdown.",兼容 Obsidian、Notion 和 Markdown 编辑器。,"Совместимость с Obsidian, Notion и редакторами Markdown.","Сумісний з Obsidian, Notion та редакторами Markdown.","Obsidian, Notion ve Markdown editörleriyle uyumludur."
paywall_features.markdown_export.title,Markdown Export,تصدير Markdown,Markdown-Export,Exportación de Markdown,Exportación de Markdown,Exportation Markdown,मार्कडाउन निर्यात,Ekspor Markdown,Esportazione Markdown,マークダウンエクスポート,ការនាំចេញ Markdown,마크다운 내보내기,Eksport Markdown,Exportar para Markdown,Xuất Markdown,Markdown 导出,Markdown-Export,Експорт у форматі Markdown,Markdown Dışa Aktarma
paywall_features.pinned_notes.subtitle,Keep important notes at the top for easy access,احتفظ بالملاحظات المهمة في الأعلى لسهولة الوصول إليها,"Wichtige Notizen sollten oben stehen, damit sie leicht zugänglich sind.",Mantenga las notas importantes en la parte superior para acceder fácilmente,Mantenga las notas importantes en la parte superior para acceder fácilmente,Gardez les notes importantes en haut pour un accès facile.,महत्वपूर्ण नोट्स को सबसे ऊपर रखें ताकि उन्हें आसानी से पढ़ा जा सके।,Simpan catatan penting di bagian atas agar mudah diakses.,Conserva le note importanti in alto per un facile accesso,重要なメモを上部に置いて簡単にアクセスできるようにする,ទុកកំណត់ចំណាំសំខាន់ៗនៅផ្នែកខាងលើសម្រាប់ងាយស្រួលចូលប្រើ,쉽게 찾을 수 있도록 중요한 메모는 맨 위에 적어 두세요.,"Przechowuj ważne notatki na górze, aby mieć do nich łatwy dostęp",Guarde as anotações importantes na parte superior para facilitar o acesso.,Hãy để những ghi chú quan trọng ở phía trên để dễ dàng truy cập.,将重要笔记放在最上方，以便快速查找,"Wichtig Notizen sollten oben stehen, damit sie leicht zugänglich sind.",Зберігайте важливі нотатки у верхній частині для зручного доступу,Önemli notları kolay erişim için en üstte tutun.
paywall_features.pinned_notes.title,Pinned Notes,ملاحظات مثبتة,Angeheftete Notizen,Notas fijadas,Notas fijadas,Notes épinglées,पिन किए गए नोट्स,Catatan yang Disematkan,Note appuntate,ピン留めされたメモ,កំណត់ចំណាំដែលបានខ្ទាស់,고정된 메모,Przypięte notatki,Notas fixadas,Ghi chú được ghim,置顶笔记,Angeheftete Notizen,Закріплені нотатки,Sabitlenmiş Notlar
paywall_features.relax_sounds.subtitle,Set the mood before you write or read.,حدد حالتك المزاجية قبل الكتابة أو القراءة.,"Bringen Sie sich in Stimmung, bevor Sie schreiben oder lesen.",Establece tu estado de ánimo antes de escribir o leer.,Establece tu estado de ánimo antes de escribir o leer.,Définissez votre humeur avant d’écrire ou de lire.,लिखने या पढ़ने से पहले अपना मूड तय करें।,Tetapkan suasana hati Anda sebelum menulis atau membaca.,Crea il tuo stato d'animo prima di scrivere o leggere.,書く前や読む前に気分を整えましょう。,កំណត់អារម្មណ៍របស់អ្នកមុនពេលសរសេរ ឬអាន។,글을 쓰거나 읽기 전에 기분을 정하세요.,"Zanim zaczniesz pisać lub czytać, określ swój nastrój.",Defina seu humor antes de escrever ou ler.,Chuẩn bị tâm trạng trước khi viết hoặc đọc.,在写作或阅读之前调整好自己的心情。,"Пишите или читайте, в ритме заданного вами настроения!","Створіть відповідний настрій перед тим, як писати або читати.",Yazmaya veya okumaya başlamadan önce ortamı hazırlayın.
paywall_features.relax_sounds.title,Relaxing Sounds,أصوات مريحة,Entspannende Klänge,Sonidos relajantes,Sonidos relajantes,Sons relaxants,आरामदायक ध्वनियाँ,Suara yang menenangkan,Suoni rilassanti,リラックスできる音,សំឡេងសម្រាក,편안한 소리,Relaksujące dźwięki,Sons relaxantes,Âm thanh thư giãn,舒缓音效,Музыка,Розслаблювальні звуки,Rahatlatıcı Sesler
paywall_features.templates.subtitle,Create your own daily writing templates,هل لديك شيء لتكتبه كل يوم؟ اجعله قالبًا.,Müssen Sie jeden Tag etwas schreiben? Erstellen Sie eine Vorlage.,¿Tienes algo que escribir todos los días? Hazlo como plantilla.,¿Tienes algo que escribir todos los días? Hazlo como plantilla.,Vous avez quelque chose à écrire tous les jours ? Créez-en un modèle.,क्या आपको हर दिन कुछ लिखना है? इसे एक टेम्पलेट बना लें।,Ada yang harus ditulis setiap hari? Jadikan itu sebagai templat.,Hai qualcosa da scrivere ogni giorno? Trasformalo in un modello.,毎日何か書く必要がありますか？テンプレートにしましょう。,តើត្រូវសរសេររាល់ថ្ងៃទេ? ធ្វើ​វា​ជា​គំរូ។,매일 뭔가 써야 하나요? 템플릿으로 만들어 보세요.,Masz coś do napisania każdego dnia? Zrób z tego szablon.,Tem algo para escrever todos os dias? Crie um modelo.,Bạn có điều gì muốn viết mỗi ngày không? Hãy biến nó thành một mẫu.,每天都有东西要写？那就把它做成模板吧。,"Создавайте ваши истории, используя универсальные шаблоны.",Створіть власні шаблони для щоденних записів,Kendi günlük yazma şablonlarınızı oluşturun.
paywall_features.templates.title,Templates,القوالب,Vorlagen,Plantillas,Plantillas,Modèles,टेम्पलेट्स,Templat,Modelli,テンプレート,គំរូ,템플릿,Szablony,Modelos,Mẫu,模板,Шаблоны,Шаблони,Şablonlar
paywall_features.voice_journal.subtitle,Record voice notes for your stories,سجل ملاحظات صوتية لقصصك,Nehmen Sie Sprachnotizen für Ihre Geschichten auf,Graba notas de voz para tus historias,Graba notas de voz para tus historias,Enregistrez des notes vocales pour vos histoires,अपनी कहानियों के लिए वॉइस नोट्स रिकॉर्ड करें,Rekam catatan suara untuk cerita Anda,Registra note vocali per le tue storie,ストーリーの音声メモを録音する,កត់ត្រាកំណត់ត្រាសំឡេងសម្រាប់រឿងរបស់អ្នក។,스토리에 대한 음성 메모를 녹음하세요,Nagrywaj notatki głosowe do swoich opowieści,Grave notas de voz para suas histórias.,Ghi âm giọng nói cho câu chuyện của bạn,为你的故事录制语音笔记,Записывайте голосовые заметки для своих историй,Записуйте голосові нотатки для своїх розповідей,Hikayeleriniz için sesli notlar kaydedin.
paywall_features.voice_journal.title,Voice Journal,مجلة الصوت,Voice Journal,Diario de voz,Diario de voz,Journal vocal,वॉयस जर्नल,Jurnal Suara,Diario vocale,ボイスジャーナル,ទិនានុប្បវត្តិសំឡេង,보이스 저널,Dziennik głosowy,Diário de Voz,Nhật ký giọng nói,语音日志,Голосовой дневник,Голосовий щоденник,Ses Günlüğü
paywall_features.writing_stats.subtitle,View word and character count for your story,اطلع على عدد الكلمات والأحرف في قصتك,Sehen Sie sich die Wort- und Zeichenanzahl Ihrer Geschichte an,Ver el recuento de palabras y caracteres de tu historia,Ver el recuento de palabras y caracteres de tu historia,Consultez le nombre de mots et de caractères de votre histoire.,अपनी कहानी के लिए शब्दों और अक्षरों की संख्या देखें,Lihat jumlah kata dan karakter untuk cerita Anda,Visualizza il numero di parole e caratteri della tua storia,ストーリーの単語数と文字数を表示する,មើលចំនួនពាក្យ និងតួអក្សរសម្រាប់រឿងរបស់អ្នក,스토리의 단어 수와 문자 수를 확인하세요.,Wyświetl liczbę słów i znaków w swojej historii,Veja a contagem de palavras e caracteres da sua história.,Xem số từ và ký tự cho câu chuyện của bạn,查看你的故事的字数和字符数,Sehen Sie sich die Wort- und Zeichenanzahl Ihrer Geschichte an,Переглянути кількість слів і символів у вашій розповіді,Hikayenizin kelime ve karakter sayısını görüntüleyin.
